"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.05.2022","204,200","192,900","205,500","191,600","195,51K","5,64%"
"24.05.2022","193,300","185,300","196,800","183,700","159,97K","4,43%"
"23.05.2022","185,100","187,000","200,000","181,600","263,24K","-1,12%"
"22.05.2022","187,200","176,100","188,600","172,500","95,38K","6,42%"
"21.05.2022","175,900","174,300","180,900","170,600","105,01K","1,03%"
"20.05.2022","174,100","165,800","181,800","163,300","212,64K","4,94%"
"19.05.2022","165,900","155,300","169,800","151,300","125,04K","6,76%"
"18.05.2022","155,400","172,800","176,000","154,600","107,48K","-10,07%"
"17.05.2022","172,800","162,500","177,800","162,100","103,54K","6,47%"
"16.05.2022","162,300","172,100","174,700","160,200","133,80K","-5,69%"
"15.05.2022","172,100","153,600","172,900","151,100","135,03K","12,19%"
"14.05.2022","153,400","143,900","155,100","136,000","108,80K","6,45%"
"13.05.2022","144,100","137,600","155,300","135,500","146,51K","4,57%"
"12.05.2022","137,800","140,700","156,000","119,400","315,85K","-2,06%"
"11.05.2022","140,700","162,700","172,700","138,200","335,67K","-13,68%"
"10.05.2022","163,000","175,000","189,300","151,300","261,84K","-5,56%"
"09.05.2022","172,600","217,500","220,800","172,600","243,64K","-20,46%"
"08.05.2022","217,000","204,700","222,100","199,800","213,17K","6,06%"
"07.05.2022","204,600","218,900","223,300","199,300","123,37K","-6,32%"
"06.05.2022","218,400","206,600","218,700","200,700","131,55K","5,71%"
"05.05.2022","206,600","225,400","229,700","199,600","149,38K","-8,30%"
"04.05.2022","225,300","207,200","225,800","206,200","129,34K","8,74%"
"03.05.2022","207,200","199,500","215,500","198,800","145,65K","4,17%"
"02.05.2022","198,900","211,900","216,400","196,100","156,35K","-6,18%"
"01.05.2022","212,000","214,200","227,900","208,500","138,44K","-0,98%"
"30.04.2022","214,100","220,200","233,900","212,800","144,67K","-3,03%"
"29.04.2022","220,800","227,400","235,700","217,000","127,09K","-2,95%"
"28.04.2022","227,500","229,400","237,900","223,600","110,08K","-0,87%"
"27.04.2022","229,500","230,100","236,000","221,500","130,38K","-0,26%"
"26.04.2022","230,100","254,400","264,500","227,600","151,89K","-9,52%"
"25.04.2022","254,300","252,500","260,000","237,500","140,64K","0,63%"
"24.04.2022","252,700","266,600","269,000","248,300","109,21K","-5,18%"
"23.04.2022","266,500","268,300","279,100","262,600","95,00K","-0,71%"
"22.04.2022","268,400","278,600","288,500","261,300","169,69K","-3,66%"
